@relation mfeat-weka.filters.unsupervised.instance.RemovePercentage-P33.0-V

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 numeric
@attribute att39 numeric
@attribute att40 numeric
@attribute att41 numeric
@attribute att42 numeric
@attribute att43 numeric
@attribute att44 numeric
@attribute att45 numeric
@attribute att46 numeric
@attribute att47 numeric
@attribute att48 numeric
@attribute att49 numeric
@attribute att50 numeric
@attribute att51 numeric
@attribute att52 numeric
@attribute att53 numeric
@attribute att54 numeric
@attribute att55 numeric
@attribute att56 numeric
@attribute att57 numeric
@attribute att58 numeric
@attribute att59 numeric
@attribute att60 numeric
@attribute att61 numeric
@attribute att62 numeric
@attribute att63 numeric
@attribute att64 numeric
@attribute att65 numeric
@attribute att66 numeric
@attribute att67 numeric
@attribute att68 numeric
@attribute att69 numeric
@attribute att70 numeric
@attribute att71 numeric
@attribute att72 numeric
@attribute att73 numeric
@attribute att74 numeric
@attribute att75 numeric
@attribute att76 numeric
@attribute class {1,2,3,4,5,6,7,8,9,10}

@data
0.065882,0.197312,0.103826,0.270362,0.616078,0.035856,0.424572,0.089701,0.367773,0.037065,0.075942,0.263906,0.077903,0.372009,0.219485,0.055327,0.108906,0.127752,0.114051,0.018581,0.102627,0.172682,0.073033,0.140344,0.132199,0.076015,0.032517,0.12884,0.120526,0.016615,0.102583,0.101625,0.06573,0.035213,0.079009,0.083773,0.021491,0.121625,0.067512,0.033777,0.099013,0.059408,0.081286,0.052345,0.0905,0.063582,0.081104,0.059101,0.097236,0.041576,0.083515,0.042379,0.082965,0.07717,0.116732,0.034761,0.109485,0.016423,0.099352,0.113763,0.086372,0.167654,0.106281,0.125783,0.090675,0.081256,0.123448,0.113374,0.074343,0.281666,0.067795,0.344182,0.038963,0.394366,0.049971,0.344871,1
0.049142,0.175971,0.105515,0.227095,0.59928,0.041217,0.431078,0.096801,0.326739,0.059661,0.017184,0.31469,0.012904,0.453108,0.209364,0.053331,0.081334,0.00755,0.234877,0.04349,0.019631,0.161129,0.044329,0.132679,0.130415,0.073866,0.051192,0.030221,0.144867,0.023895,0.01679,0.121181,0.076889,0.054896,0.088678,0.097209,0.019548,0.026906,0.113283,0.020423,0.024929,0.085364,0.090844,0.011986,0.092177,0.072633,0.006894,0.040413,0.007373,0.030241,0.088277,0.101808,0.082933,0.117419,0.03004,0.122958,0.015721,0.081246,0.054884,0.087803,0.069228,0.145889,0.019964,0.1932,0.014135,0.131552,0.04531,0.069337,0.045386,0.254264,0.045447,0.335659,0.021719,0.445277,0.083978,0.354092,1
0.034172,0.227649,0.108766,0.127697,0.612494,0.056554,0.470639,0.041903,0.324267,0.044569,0.017012,0.283372,0.060468,0.36442,0.218012,0.065799,0.100798,0.041148,0.103112,0.029623,0.016676,0.126331,0.073546,0.160574,0.127323,0.076715,0.058565,0.007764,0.074607,0.021533,0.016114,0.090223,0.077979,0.090263,0.07214,0.09145,0.035295,0.020528,0.063147,0.022222,0.038475,0.054014,0.094508,0.039474,0.086138,0.071334,0.014315,0.059481,0.019133,0.046476,0.054556,0.101624,0.073648,0.117885,0.032529,0.057997,0.029461,0.04095,0.033732,0.218233,0.051349,0.190854,0.045106,0.180896,0.036688,0.082467,0.019858,0.218842,0.041087,0.360464,0.047154,0.377408,0.052099,0.445029,0.071234,0.261465,1
0.062336,0.217979,0.080243,0.289592,0.546316,0.045779,0.425545,0.022841,0.331454,0.119052,0.036931,0.224981,0.051425,0.337966,0.152098,0.07268,0.162303,0.037585,0.05667,0.106918,0.017703,0.109614,0.076275,0.187445,0.059987,0.08759,0.11305,0.038817,0.03427,0.088544,0.018063,0.043295,0.08982,0.156005,0.018523,0.088568,0.092721,0.03622,0.045108,0.066557,0.035874,0.013387,0.08721,0.087777,0.076711,0.019268,0.079736,0.044408,0.043399,0.06994,0.067212,0.010513,0.085155,0.017055,0.073653,0.083279,0.020877,0.105687,0.081941,0.02322,0.089021,0.062116,0.069341,0.158564,0.011687,0.165806,0.083995,0.085479,0.087658,0.15188,0.07595,0.293462,0.022675,0.408291,0.06301,0.401376,1
0.06197,0.198358,0.111239,0.25346,0.608455,0.023631,0.415246,0.091866,0.30931,0.049142,0.093298,0.315552,0.051809,0.388674,0.216835,0.049581,0.049233,0.156873,0.206554,0.042255,0.102949,0.155439,0.059885,0.058975,0.125538,0.058147,0.06763,0.148337,0.117097,0.050259,0.078909,0.085289,0.082221,0.080176,0.076863,0.058436,0.06246,0.08233,0.045987,0.043482,0.067768,0.060132,0.063493,0.070777,0.047835,0.072733,0.076327,0.05672,0.066385,0.052332,0.049535,0.084414,0.048125,0.107442,0.057394,0.10858,0.072844,0.071208,0.052613,0.102777,0.026283,0.162884,0.063546,0.185552,0.050646,0.130661,0.021004,0.10696,0.032283,0.248565,0.015674,0.386276,0.039481,0.434701,0.069218,0.405403,1
0.068159,0.351293,0.128993,0.057838,0.515568,0.03697,0.501015,0.088189,0.333595,0.177476,0.064759,0.220439,0.057612,0.350892,0.169827,0.044283,0.175745,0.080425,0.055454,0.137239,0.101164,0.130404,0.068303,0.140235,0.107434,0.066427,0.091477,0.089741,0.071422,0.096538,0.092384,0.07893,0.068844,0.066202,0.070621,0.090319,0.043001,0.080598,0.063312,0.08021,0.073433,0.031405,0.069349,0.022532,0.121028,0.055434,0.072739,0.044616,0.078364,0.089334,0.106287,0.029986,0.093068,0.0696,0.063852,0.090647,0.098321,0.126045,0.076475,0.048942,0.067998,0.122857,0.073941,0.132693,0.084061,0.206224,0.066418,0.042722,0.043923,0.182893,0.028059,0.278417,0.027575,0.456644,0.059726,0.353545,1
0.088707,0.103094,0.110791,0.396809,0.593649,0.059416,0.371464,0.109341,0.401269,0.083669,0.116938,0.219791,0.122071,0.288988,0.211581,0.06409,0.111493,0.159651,0.049154,0.097634,0.107613,0.135698,0.068889,0.089278,0.129276,0.057474,0.097133,0.12734,0.053481,0.116152,0.096777,0.074059,0.03759,0.07928,0.082839,0.049844,0.105023,0.104713,0.011923,0.127904,0.074621,0.03173,0.037133,0.089558,0.0491,0.070241,0.057928,0.111334,0.068742,0.116077,0.075824,0.072081,0.066828,0.110229,0.07182,0.062655,0.081165,0.099327,0.111777,0.122545,0.086417,0.16368,0.06235,0.149984,0.080205,0.118938,0.11857,0.076617,0.092156,0.242574,0.053327,0.332779,0.033402,0.378157,0.07351,0.404439,1
0.074973,0.150335,0.107932,0.194786,0.647993,0.071831,0.431212,0.10097,0.317316,0.028298,0.083372,0.327322,0.138664,0.369895,0.198778,0.085369,0.02366,0.124936,0.161806,0.039639,0.082993,0.141813,0.105317,0.089043,0.084332,0.074301,0.020197,0.059051,0.103869,0.03587,0.081607,0.073991,0.091025,0.032238,0.04871,0.055044,0.05466,0.093269,0.065292,0.027097,0.078227,0.026441,0.058291,0.06777,0.040907,0.04991,0.094731,0.071795,0.09267,0.040935,0.057742,0.019512,0.064435,0.045176,0.133254,0.068852,0.107342,0.038172,0.130565,0.12953,0.09821,0.144674,0.095613,0.074626,0.109479,0.020213,0.116393,0.245769,0.102665,0.347745,0.026833,0.401374,0.035107,0.416101,0.127681,0.301571,1
0.059108,0.100892,0.074581,0.385581,0.579327,0.032159,0.389402,0.082911,0.359484,0.096414,0.087923,0.258656,0.054454,0.301976,0.216626,0.005259,0.114158,0.101271,0.073952,0.060827,0.130346,0.163796,0.026683,0.1361,0.129285,0.024363,0.04582,0.145914,0.102878,0.027506,0.147075,0.104641,0.009623,0.023211,0.061626,0.052658,0.034249,0.16416,0.052699,0.023462,0.130083,0.035159,0.057021,0.025357,0.038327,0.013211,0.098873,0.04412,0.122847,0.020661,0.006464,0.013275,0.015294,0.067053,0.089978,0.085963,0.109199,0.067249,0.022593,0.028219,0.008075,0.116926,0.055103,0.155667,0.077617,0.137098,0.019177,0.071713,0.002424,0.197919,0.012997,0.324273,0.021159,0.384304,0.081067,0.445685,1
0.012237,0.090516,0.084213,0.350193,0.481188,0.023898,0.408722,0.06208,0.436825,0.182301,0.006986,0.137445,0.03328,0.314644,0.082636,0.019946,0.173067,0.003047,0.07836,0.146974,0.002436,0.011473,0.034976,0.140777,0.027853,0.018665,0.108007,0.007772,0.086954,0.096347,0.002827,0.081014,0.017852,0.063742,0.076222,0.007398,0.065641,0.018208,0.110912,0.040745,0.014812,0.094623,0.018293,0.025991,0.016431,0.090532,0.041901,0.045516,0.022186,0.070592,0.023453,0.11721,0.017969,0.073314,0.02116,0.077306,0.013109,0.118078,0.034579,0.09632,0.025052,0.012179,0.038227,0.14667,0.017284,0.196816,0.051108,0.103715,0.031894,0.123222,0.051203,0.245201,0.008755,0.42169,0.017067,0.370099,1
